Algorithm,DataType,InputSize,ExecutionTime(ns),MemoryUsage(bytes),Comparisons,Swaps,Timestamp
Insertion Sort,NearlySorted,1000,3296250,48,63213,62216,1756227879636
Insertion Sort,WithDuplicates,100,142300,48,2267,2172,1756227895538
Insertion Sort,WithDuplicates,200,501900,48,9260,9065,1756227911782
Insertion Sort,WithDuplicates,400,2133250,48,40563,40166,1756227929309
Insertion Sort,WithDuplicates,600,7057150,48,92374,91783,1756227949580
Insertion Sort,WithDuplicates,800,11952650,48,157255,156463,1756227972650
Insertion Sort,WithDuplicates,1000,16591450,48,245048,244056,1756227999831
Quick Sort,Random,100,75950,48,947,162,1756228015901
Quick Sort,Random,200,118950,48,2309,380,1756228031857
Quick Sort,Random,400,225100,48,5884,823,1756228047924
Quick Sort,Random,600,347050,48,9292,1316,1756228063955
Quick Sort,Random,800,423900,48,12169,1848,1756228079889
Quick Sort,Random,1000,462050,48,14832,2358,1756228095595
Quick Sort,Sorted,100,164050,24,5148,0,1756228111287
Quick Sort,Sorted,200,534400,24,20298,0,1756228127020
Quick Sort,Sorted,400,2073400,24,80598,0,1756228144238
Quick Sort,Sorted,600,6176400,24,180898,0,1756228163228
Quick Sort,Sorted,800,11993000,24,321198,0,1756228185608
Quick Sort,Sorted,1000,16980000,24,501498,0,1756228210959
Quick Sort,ReverseSorted,100,171550,24,5198,50,1756228226639
Quick Sort,ReverseSorted,200,536700,24,20398,100,1756228242572
Quick Sort,ReverseSorted,400,2293550,48,80798,200,1756228261350
Quick Sort,ReverseSorted,600,6740100,48,181198,300,1756228285217
Quick Sort,ReverseSorted,800,12961350,48,321598,400,1756228315698
Quick Sort,ReverseSorted,1000,18848300,48,501998,500,1756228352775
Quick Sort,NearlySorted,100,83600,24,1259,18,1756228370288
Quick Sort,NearlySorted,200,140400,24,2930,56,1756228387893
Quick Sort,NearlySorted,400,331000,24,10087,92,1756228405560
Quick Sort,NearlySorted,600,580650,48,17679,162,1756228423594
Quick Sort,NearlySorted,800,755050,48,24519,233,1756228441681
Quick Sort,NearlySorted,1000,806750,48,27052,308,1756228459543
Quick Sort,WithDuplicates,100,86650,48,986,231,1756228476882
Quick Sort,WithDuplicates,200,122000,48,2121,498,1756228494511
Quick Sort,WithDuplicates,400,257250,48,5134,1112,1756228512242
Quick Sort,WithDuplicates,600,350000,48,7845,1739,1756228529945
Quick Sort,WithDuplicates,800,451200,48,10871,2421,1756228547856
Quick Sort,WithDuplicates,1000,495850,48,13913,3113,1756228564396
Merge Sort,Random,100,70050,24,542,0,1756228579859
Merge Sort,Random,200,102300,24,1294,0,1756228595112
Merge Sort,Random,400,213150,24,2959,0,1756228612637
Merge Sort,Random,600,294950,24,4775,0,1756228630195
Merge Sort,Random,800,373400,24,6749,0,1756228648045
Merge Sort,Random,1000,467650,24,8731,0,1756228665846
Merge Sort,Sorted,100,63200,24,356,0,1756228683377
Merge Sort,Sorted,200,78800,24,812,0,1756228700909
Merge Sort,Sorted,400,126300,24,1824,0,1756228718464
Merge Sort,Sorted,600,172350,24,2916,0,1756228735962
Merge Sort,Sorted,800,224700,24,4048,0,1756228753528
Merge Sort,Sorted,1000,281000,24,5044,0,1756228771269
Merge Sort,ReverseSorted,100,57750,24,316,0,1756228788724
Merge Sort,ReverseSorted,200,81050,24,732,0,1756228806022
Merge Sort,ReverseSorted,400,124450,24,1664,0,1756228822488
Merge Sort,ReverseSorted,600,190900,24,2660,0,1756228840125
Merge Sort,ReverseSorted,800,280350,24,3728,0,1756228857929
Merge Sort,ReverseSorted,1000,330850,24,4932,0,1756228875680
Merge Sort,NearlySorted,100,72800,24,473,0,1756228893297
Merge Sort,NearlySorted,200,113400,24,1201,0,1756228911098
Merge Sort,NearlySorted,400,200000,24,2683,0,1756228928747
Merge Sort,NearlySorted,600,292150,24,4456,0,1756228946978
Merge Sort,NearlySorted,800,334950,24,6406,0,1756228964906
Merge Sort,NearlySorted,1000,429350,24,8041,0,1756228983092
Merge Sort,WithDuplicates,100,85050,24,533,0,1756229001259
Merge Sort,WithDuplicates,200,128150,24,1285,0,1756229019331
Merge Sort,WithDuplicates,400,196900,24,2941,0,1756229036972
Merge Sort,WithDuplicates,600,271600,24,4778,0,1756229053988
Merge Sort,WithDuplicates,800,355200,24,6691,0,1756229069683
Merge Sort,WithDuplicates,1000,405500,24,8706,0,1756229085216
Heap Sort,Random,100,75100,48,1025,577,1756229100201
Heap Sort,Random,200,135200,48,2455,1358,1756229115386
Heap Sort,Random,400,258600,48,5694,3110,1756229130472
Heap Sort,Random,600,395250,48,9213,5004,1756229145664
Heap Sort,Random,800,553700,48,12987,7011,1756229161807
Heap Sort,Random,1000,818500,48,16912,9118,1756229180079
Heap Sort,Sorted,100,82050,48,1081,640,1756229197245
Heap Sort,Sorted,200,129700,48,2587,1488,1756229212050
Heap Sort,Sorted,400,267800,48,5984,3372,1756229226960
Heap Sort,Sorted,600,401750,48,9693,5404,1756229241931
Heap Sort,Sorted,800,545250,48,13639,7554,1756229257059
Heap Sort,Sorted,1000,713050,48,17583,9708,1756229272576
Heap Sort,ReverseSorted,100,68800,48,944,516,1756229287427
Heap Sort,ReverseSorted,200,112650,48,2275,1206,1756229302235
Heap Sort,ReverseSorted,400,231200,48,5352,2822,1756229317147
Heap Sort,ReverseSorted,600,361350,48,8718,4572,1756229332227
Heap Sort,ReverseSorted,800,492500,48,12293,6442,1756229347381
Heap Sort,ReverseSorted,1000,611800,48,15965,8316,1756229362562
Heap Sort,NearlySorted,100,73650,48,1073,624,1756229377384
Heap Sort,NearlySorted,200,135200,48,2556,1462,1756229392192
